kind,etag,id,snippet.channelId,snippet.videoId,snippet.topLevelComment.kind,snippet.topLevelComment.etag,snippet.topLevelComment.id,snippet.topLevelComment.snippet.channelId,snippet.topLevelComment.snippet.videoId,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.authorDisplayName,snippet.topLevelComment.snippet.authorProfileImageUrl,snippet.topLevelComment.snippet.authorChannelUrl,snippet.topLevelComment.snippet.authorChannelId.value,snippet.topLevelComment.snippet.canRate,snippet.topLevelComment.snippet.viewerRating,snippet.topLevelComment.snippet.likeCount,snippet.topLevelComment.snippet.publishedAt,snippet.topLevelComment.snippet.updatedAt,snippet.canReply,snippet.totalReplyCount,snippet.isPublic
youtube#commentThread,VmeH2OFfxOi-kRbagLX2RITw6w4,UgxAFra4n3hDQBuXRzd4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,youtube#comment,4mMoJa-Cu039VafuRtxoiUFr4fA,UgxAFra4n3hDQBuXRzd4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,the tigers are drawn so well wtf,the tigers are drawn so well wtf,@26days,https://yt3.ggpht.com/ytc/AIdro_kPQ9vdp5V05E_BqcdEzY-tafC2rvcqjaZQSE22pSwDGg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@26days,UCYYD2_8nP2Ym7DmGPZKCxqw,True,none,0,2026-06-29T09:53:46Z,2026-06-29T09:53:46Z,True,0,True
youtube#commentThread,4vRHR9-fWgxnqGcw2gFgJ6tjGoY,Ugz4MyivMAIdH18BGzB4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,youtube#comment,0JhJ0ohwEfbKv1SKxjZTr6_gx3M,Ugz4MyivMAIdH18BGzB4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,"I would rather create tens of thousands of dream images using AI, not wasting time on process of drawing stuff. Trillions of study and other things to do in short life words alone can never describe.","I would rather create tens of thousands of dream images using AI, not wasting time on process of drawing stuff. Trillions of study and other things to do in short life words alone can never describe.",@scitechaiutopia,https://yt3.ggpht.com/lQPG6aIvRgD2l6DHEHSIcSEzwdfm6J-JJFL1QOInlw73kKBTJYIP1jj4RsL7qNzhYIFUqdV7Yu8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@scitechaiutopia,UCS8AXA5NveSRpMu9fbohijA,True,none,0,2026-06-29T09:51:30Z,2026-06-29T09:51:30Z,True,0,True
youtube#commentThread,xKiC8_Mf7x9l0Ar9vw8TYQI4yns,Ugzwwm2KZyWKg-qrfp14AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,youtube#comment,MWuyzNlnTpZf14IBKHb5UffdqCE,Ugzwwm2KZyWKg-qrfp14AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,damn he worked hard,damn he worked hard,@natenoisy7571,https://yt3.ggpht.com/ytc/AIdro_nqHjowl6ufd5-8coov7VRZuGgIfeC_TJ-I5m0aG9ga-AU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@natenoisy7571,UCtx6BYDRmttb2-OxC8HqzAQ,True,none,0,2026-06-29T09:43:07Z,2026-06-29T09:43:07Z,True,0,True
youtube#commentThread,LXMTK-F_v0V334Y-L-1Rlb4_6Bc,UgzjWdJstPSbdSgSceZ4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,youtube#comment,rLKyCpFiUfrtG9sfKMUMVBmxevQ,UgzjWdJstPSbdSgSceZ4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,Id buy it.,Id buy it.,@CptSauce,https://yt3.ggpht.com/ytc/AIdro_kKrTqefptrLgUgFWcVWQYhELG8CHLWRNd9pS9smy41cTmO_V03eRSyIYHzp0R1CZqUkUg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@CptSauce,UCfkYpm5tznz6K5wzF-f5StA,True,none,0,2026-06-29T09:33:24Z,2026-06-29T09:33:24Z,True,0,True
youtube#commentThread,0xd-MzwAtA9FtS4bbp0c4PLbR-I,UgwSPqrbnXn8bnyiCaV4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,youtube#comment,aqrC52TbqhX9m4c1mhy8w8UbnEw,UgwSPqrbnXn8bnyiCaV4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,Never like a video that fast,Never like a video that fast,@sean89999,https://yt3.ggpht.com/lseBGy1zE4gUzoElqNzm2cT4CkN4QbNS--EE2B8YrDX0KbZniKqlDd_9CO2mFq-LYBIU8bHO8w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@sean89999,UC1YpAmcJTlgIk0Oho6maEwQ,True,none,0,2026-06-29T09:11:08Z,2026-06-29T09:11:08Z,True,0,True
youtube#commentThread,QAQqahMzNYkyhy7lfpcLVOzyly0,Ugze3A-8u4WYaJKTmVZ4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,youtube#comment,u0WBHrBZiLOGid3TSBg33iyO13c,Ugze3A-8u4WYaJKTmVZ4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,The reason I draw is because of PewDiePie 2 years ago. He inspired me to start drawing!.,The reason I draw is because of PewDiePie 2 years ago. He inspired me to start drawing!.,@JericArudtistd,https://yt3.ggpht.com/NqKUsdr1Guv2bx7WeN1DznvxyEuT3Nq-IuGpHvzoxD0ZlGpHbtZHgHq6LinIJqZ-BlMgDiQUjA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@JericArudtistd,UCnUgjjR7MrSUDuSUG04vzBg,True,none,0,2026-06-29T08:56:21Z,2026-06-29T08:56:21Z,True,0,True
youtube#commentThread,XUcTxUjb80tkJkzOMXfK3pnz_dc,UgwMQyv2kspFhPDdIsh4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,youtube#comment,NaZly6YjmTueAzMdMLZNdMKAVfo,UgwMQyv2kspFhPDdIsh4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,"You&#39;re an inspiration to us all, Pewds :)","You're an inspiration to us all, Pewds :)",@asifyouwouldremember,https://yt3.ggpht.com/ytc/AIdro_nTCL1-tdnfv4ht6631OweE5GmaA4omMRxcbuXdk1CZH7I=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@asifyouwouldremember,UCWAD8OgfAS4dEBxwkN3B6_A,True,none,0,2026-06-29T08:45:32Z,2026-06-29T08:45:32Z,True,0,True
youtube#commentThread,8-LGe0BiqKYws-Pj_5j_GqOn1TY,UgznOJX9lncRfZG8M0B4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,youtube#comment,weyrU3DdIMLnj0hfJNnoPPXtLNc,UgznOJX9lncRfZG8M0B4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,画風がとても好きです✨沢山のマンガを見て、マンガが大好きな事がすごく良く伝わりました。絵にも優しい性格が写されてると感じました。今後もマンガを描き続けて欲しいです。いつか多くの人が心躍る作品が生まれると思います。,画風がとても好きです✨沢山のマンガを見て、マンガが大好きな事がすごく良く伝わりました。絵にも優しい性格が写されてると感じました。今後もマンガを描き続けて欲しいです。いつか多くの人が心躍る作品が生まれると思います。,@Potato-rocket,https://yt3.ggpht.com/6A6OLbpBgxAzrP_pX-PgUpnBPuHud1Vfa5TeCRIF9TduKWn8B3XxAB-Am8G78H_NdulPd7uQhw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Potato-rocket,UCW7kDYtjp58HBZxH5kL9wWQ,True,none,0,2026-06-29T08:32:06Z,2026-06-29T08:32:06Z,True,0,True
youtube#commentThread,I8sDigZ2tCfQzAYXMzNVmf62Pig,Ugwc9dzTR00rozt4gw14AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,youtube#comment,xzXceRumvODp5HLWq44qsffjt3o,Ugwc9dzTR00rozt4gw14AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,helloooo my name is peeewdiepieeeeee,helloooo my name is peeewdiepieeeeee,@skrskr-j1m,https://yt3.ggpht.com/ytc/AIdro_knbIyiAP9_SO31k13tAl2Hxf340Sh7h9UgG9pM3FF_M34=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@skrskr-j1m,UCRV6tAKEtvnEBqWK_oTVpXw,True,none,0,2026-06-29T08:31:14Z,2026-06-29T08:31:14Z,True,0,True
youtube#commentThread,faUXANKeOgGlejKBU_7Okn8eXLg,UgyeDOOw7rAZDfZKisZ4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,youtube#comment,VEF9DXha8vLKhKsUXLgUsUvzitE,UgyeDOOw7rAZDfZKisZ4AaABAg,UC-lHJZR3Gqxm24_Vd_AJ5Yw,iRRpvuMG7AM,we will forever miss our fav minecraft youtuber😭😭,we will forever miss our fav minecraft youtuber😭😭,@Officialzarif,https://yt3.ggpht.com/8J72DMhFdUBJOPgbV4rmiBhFV3P5LGl6gUUoGoOhTRtcpiGXE1vMCTQF9D58aJtP2ZKdc-G0oQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Officialzarif,UCUbDga8TKHjtm1JoYdq8JqQ,True,none,1,2026-06-29T07:00:50Z,2026-06-29T07:00:50Z,True,0,True
