text,label
"Japanese 
Italian
English 
Swedish 

Teach that boy all the language",neutral
Bros author name gonna be Pewdiepie for real,neutral
Im glad he used the traditional medium over the digital one Its more fun to watch and the organic and unique look drawing and inking something traditionally brings to the table,positive
This is inspirational ,positive
PewDiePie already making a manga what is my excuse aAAAAHHHHHHH,positive
As an artist myself pewds you are trying to do everything perfectly dont put that weight on you man  you are doing an amzing job so far,positive
Holy shit bro cooked,negative
An art YouTuber named Viyuara made a fanart based on your manga,neutral
WE all want a life like this,positive
I think there are halftone and other pattern stencils you can use instead of the sticker you have to rub in could try that too and see how you like it then you can just reuse the stencil over and over again I found some on amazon they have cool geometric patternsshapes and dots of varying sizes perspectives and depths Seeing first hand why mangakas take so long to release a chapter lmao Made me think Calvin and Hobbes the manga haha,positive
This feels like me when I decided that I would read an entire book in traditional Chinese starting out I vastly overestimated my vocabulary and everyone said not to start reading a regular book but to work yourself up by starting with simple childrenlevel books and gradually moving on towards more advanced stuff but no I am stubborn so I happilyangrily spend 30 minutes per page cross reading with a dictionary and still going Ill be several years older when I finally get through the whole thing but dammit I started it I learn heaps along the way and Ill get the chance to be proud of myself when its finally finished so I wont listen to the people telling me Im in over my head  Thanks for the inspo Felix,positive
One day I was 13 watching him play amnesia with a girlfriend that speaks little English before I know it hes got an Swedish Italian Japanese son,positive
This was very informative appreciate it,positive
Damn thats cool,negative
pewdiepie can you tell us the name of the white headphones you were wearing in the beggining,neutral
thats actually fucking dope bro,neutral
The shadows dont make sense in the manga,neutral
Im glad youre proud because after focusing on something for so long it can be sooo easy to fixate on everything you couldve done better But us seeing this for the first time I think many were wowed Tiny mistakes dont bother others as much as ourselves lol,positive
Inverted A Passion in the Desert by Honor de Balzac how predictable,positive
guys he draws a bit better than me i need him cancelled NOW,positive
Ive been drawing my own comics for years and relate so much to what youre saying,neutral
Whoa i thought u said Nga Again,neutral
We get it Felix youre having your 30s crisis but this is just not it,negative
Will this be published,neutral
First we got a CoryXKenshin manga now we get a PewDiePie one Its a dream come true,positive
Wow I love this so much and its mega inspiring thank you I struggle to do my art a lot and I relate a lot to the motivation,positive
The highlight page can be the part where the tiger loses its stripes with the stripes flowing down the like lake The stripeswaves on the lake is obviously a reference to Pewds theme design Love the contrast on that page,positive
Pewds unlocked another life DLC,neutral
You never fail to amaze me felix,neutral
this is so inspiring,positive
1838 You broke through this coping mechanism Kudos ,positive
Bro is using his wealth to raise a good family and continue to learn new skills and then apply them by creating new thingsthis is the way,positive
This is CRAZY impressive The detail on the tiger and the scenery is phenomenal Amazing job,positive
I actually cried about the tigger,negative
Welcome back Calvin and Hobbes,positive
Omg pewds you have made so much progress making a comic requires an incredible amount of dedication and shows how much passion you have for drawing As a prospective art professor I am so glad to watch this process,positive
Been following you for a while my first commentyour awesome pewds bro Love to you and yours,positive
No way he improved so much more than me hes so dedicated on art i love it,positive
Im currently pursuing my dream of being a comic and graphic novel creator on the side of the other things and Pewds pursuing being a mangaka is the insipiration I didnt know I needed I have been sooo in the zone with scripting lately but because of an injury Im still easing back into drawing  Sooo excited for both of us and anyone else making their dream comic Its sooo hard to do by oneself I can see why pros have teams of people working on a series ,positive
2454 i agree with marzia The tiger does look sexy ,positive
BUT WHAT DOES IT ALL MEAAANNNN,neutral
Wait did the boy already know about the tiger before he went to the town,neutral
This was actually deep and profound for how I interpreted it personally also healing Thanks for the adventure,positive
Colorbrushes are my some of my favorite art supplies,positive
Are you not coming to the USA to watch and support Sweden and Japan,positive
PewDiePie please keep international roast video with screaming words example fake you Sweet drones,negative
"2455 I think the tiger needs a stronger brow bone to give it an angrier look It looks a little soft to my perspective 

This is INCREDIBLE Pewds Youre always an inspiration to me to keep creating even when I feel down about it",positive
Hello today I saw the protests of Turkish players and I felt really bad for them GTA 6 doesnt support their native language yet they are so excited and havent lost hope they are actively using hashtags and messaging Rockstar to get Turkish language support added to the game Please empathize with the sense of incompleteness that comes from not being able to play a game in your native language and please be a supporter of them,positive
the pacing of the first few pages from the sky zooming in to the boy and walking down from the mountains to the town  reminds me of the starting scene of death stranding 2 ,negative
yo pewdiepie why dont u ai generate your art and then ai generate the story and then ai generate the script for this video too bro saves you a ton of time and also wastes so much water and also you can probably end your career pretty cool ngl,positive
Father time aint it,neutral
I love that the story is practically nonexistent  no but in all seriousness I beg you to read Tatsuki Fujimoto 1726 its a collection of the Chainsawman authors early work short stories he published in his late teens and early 20s you can really learn the most from that,positive
"ok
Felix draw sexy tiger and Marzia is a furry",positive
