text,label
Pewds unlocked another life DLC,neutral
now make an anime from the manga u made,neutral
"Tower Dungeon vibes
We know Felix is a Tsutomu Nihei fan",positive
the most impressive thing about this video is not reacting when his dog licks the inside of his ear on repeat 1026,positive
would love to be able to own a copy of this,positive
Your life path is inspirational As an indie comic book and animation artist i know the amount of time and dedication in takes to make something like this Youre a great rolemodel for the youth Pewds,positive
Holy shit bro cooked,negative
STOP doing things PLEASE,neutral
this is actually impressive,positive
Here to help this small manga creator,positive
Hey man Ive been drawing for a really long time and doing something like this is incredibly difficult for even me I totally understand your frustrations theyre universal Comicsmanga is really hard But seeing you do it is inspiring and youre really great at it Im actually genuinely impressed Good job Pewdiepie youre a really cool guy stay well brotha,positive
Some good stuff bro maybe next challenge try to make a doujinshi and sell it at Comiket,positive
This is inspirational ,positive
Damn thats cool,negative
I need to see you and Spilled Ink collab immediately,neutral
OMGthe story is so touching,neutral
You can tell hes gotten quite the accent,neutral
2646 can you PLEASE get this image onto a tshirt or something from tsuki You are right Tigers and Moon are awesome,positive
2755 this was so sad but incredibly beautiful,positive
Next level truly,positive
This is just Calvin and Hobbes,neutral
Can someone get a another phone to update iPhone 17 pro max,neutral
We get it Felix youre having your 30s crisis but this is just not it,negative
pewdiepie can you tell us the name of the white headphones you were wearing in the beggining,neutral
I love that instead of milking his channel until the end of eternity he uses it as an outlet to be creative and try new things in life that look fun I feel the same way,positive
When you can see all the flaws in what you are doing I think that usually means you are doing way better than you realize and you are learning really quickly,positive
Bro is literally living my dream ,positive
what ever happened to that book club in 2025,neutral
How tf do you not have 3 billion subs yet,neutral
Your videos are always so helpful thank you,positive
"If you want smooth ink Use cold press watercolor paper Wet it down and then add ink 
It will spread 
More evenly",positive
Pewds please make another skin with DBRAND before u retire,positive
The hunter could be a girl I think its even cooler if its a girl,neutral
I actually cried about the tigger,negative
You really inspired me Felix Thanks for sharing your great work and your art Its amazing You reminded just how beautiful tigers are ,positive
Hey Pewds when you release your manga for sale just know I have a higher chance in investing in your product than Coryxkenshins manga since youre still present on YouTube  I personally dont see you as someone wholl let down your fans is my point I look forward to it,positive
Seeing Pewds Draw gives me all the strength to conquer the fundamentals,positive
The sound effects at the beginning of the Manga was epic lol,positive
Maybe you should try to incorporate your Mangaka skills with Marzias art skills And create a own genre of Manga,positive
The story is very good,positive
"110 millions subs
barely reaches 1 million views

",neutral
Pewdiepie bhai mr beast 500 Million subscribers complete ho gya haa,neutral
"Buy yourself a thunderstorm generator kit a 12kw petrol generator and a gas analyzer 
Fit the thunderstorm generator to the 12kw petrol generator and record what happens
This technology generates a self contained black hole",positive
PewDiePie is a perfect example of perfect life,positive
you should try reading Kaiji you would love it,positive
PewDiePie please keep international roast video with screaming words example fake you Sweet drones,negative
this inspired me to make a vocoloid song and animation,positive
"Last Guardian reimagination
Cute actually respect for the old way drawing",positive
the pacing of the first few pages from the sky zooming in to the boy and walking down from the mountains to the town  reminds me of the starting scene of death stranding 2 ,negative
Im glad youre proud because after focusing on something for so long it can be sooo easy to fixate on everything you couldve done better But us seeing this for the first time I think many were wowed Tiny mistakes dont bother others as much as ourselves lol,positive
His next video I tried to make an Anime,neutral
Im freaking blown away he just started learning to draw recently  so awesome pewds,positive
